3,1,50,50,17,22,9,7,3,8,5,7,17,9,4,6,0,1,6,6,10,15,441,418
1,2,44,56,9,14,1,4,7,5,1,5,17,11,2,5,0,3,2,0,11,14,394,493
5,1,71,29,28,7,8,3,12,2,8,2,16,8,11,1,0,1,2,3,8,15,640,255
1,7,35,65,10,19,4,14,4,3,2,2,5,17,2,3,2,0,7,3,14,5,310,601
1,1,49,51,21,10,5,4,9,2,7,4,11,16,9,1,5,1,3,4,11,10,414,439
3,0,74,26,25,9,10,3,9,3,6,3,8,14,3,3,1,0,3,7,13,8,751,261
2,0,59,41,9,6,2,1,3,2,4,3,12,16,3,6,0,1,1,0,16,10,539,355
0,1,61,39,14,14,6,3,3,6,5,5,11,15,4,10,3,2,2,6,12,10,510,315
2,1,66,34,12,16,2,5,6,6,4,5,10,10,7,4,1,0,4,0,8,10,590,313
0,5,33,67,6,15,3,9,2,5,1,1,12,12,4,5,0,2,4,3,12,10,294,618
1,6,37,63,12,26,5,12,3,11,4,3,10,15,4,4,4,2,6,4,11,8,321,561
0,0,53,47,17,11,6,1,7,8,4,2,13,6,7,3,0,3,1,6,7,10,483,449
3,1,71,29,21,5,10,2,9,2,2,1,12,10,7,1,2,1,1,7,8,11,686,282
2,0,63,37,36,6,13,2,10,2,13,2,13,17,17,3,2,3,2,11,15,10,545,332
4,3,47,53,24,9,9,3,7,5,8,1,14,10,8,3,4,2,0,5,7,12,456,522
2,1,60,40,14,8,7,2,5,6,2,0,15,17,8,3,2,1,1,5,14,15,530,356
0,4,33,67,10,26,3,11,6,14,1,1,13,8,4,6,3,3,7,3,5,10,286,595
4,0,30,70,12,9,4,0,7,6,1,3,14,16,3,7,3,1,0,0,13,14,200,487
1,4,33,67,10,10,4,6,3,3,3,1,8,16,7,6,3,2,2,3,13,7,287,607
